,city_number,resources_remaining,severity,resources_allocated,resources_effectively_allocated,damage
0,1.0,40.0,5.0,7.337584018707275,7.337584018707275,0.0
1,2.0,32.66241455078125,6.0,8.856378555297852,8.856378555297852,0.11489725112915039
2,3.0,23.8060359954834,4.0,6.913060188293457,6.913060188293457,0.7670612335205078
3,4.0,16.892974853515625,5.0,8.616915702819824,8.616915702819824,3.3202948570251465
4,5.0,8.2760591506958,8.0,9.195727348327637,8.2760591506958,11.265083312988281
5,1.0,40.0,8.0,9.17431354522705,9.17431354522705,0.0
6,2.0,30.825687408447266,2.0,5.5927276611328125,5.5927276611328125,0.0
7,3.0,25.232959747314453,3.0,5.874290466308594,5.874290466308594,0.0
8,4.0,19.35866928100586,2.0,5.613886833190918,5.613886833190918,0.0
9,5.0,13.744782447814941,5.0,8.367566108703613,8.367566108703613,0.9794602394104004
10,6.0,5.377216339111328,2.0,5.708594799041748,5.377216339111328,1.2285737991333008
11,7.0,0.0,5.0,8.761065483093262,0.0,7.228573799133301
12,1.0,40.0,6.0,8.689909934997559,8.689909934997559,0.0
13,2.0,31.310089111328125,3.0,5.82878303527832,5.82878303527832,0.0
14,3.0,25.481306076049805,6.0,8.975025177001953,8.975025177001953,0.01997995376586914
15,4.0,16.50628089904785,6.0,9.091026306152344,9.091026306152344,1.765364646911621
16,5.0,7.415254592895508,2.0,5.838119983673096,5.838119983673096,1.8301167488098145
17,6.0,1.577134609222412,5.0,8.983144760131836,1.577134609222412,7.514689922332764
18,1.0,40.0,3.0,5.692865371704102,5.692865371704102,0.0
19,2.0,34.30713653564453,4.0,6.211870193481445,6.211870193481445,0.0
20,3.0,28.095266342163086,3.0,5.746705055236816,5.746705055236816,0.1519773006439209
21,4.0,22.348560333251953,6.0,8.869132995605469,8.869132995605469,3.8043243885040283
22,5.0,13.479427337646484,5.0,8.416301727294922,8.416301727294922,8.121064186096191
23,1.0,40.0,3.0,5.695704936981201,5.695704936981201,0.0
24,2.0,34.30429458618164,5.0,7.493847846984863,7.493847846984863,1.5036911964416504
25,3.0,26.810447692871094,7.0,9.13988971710205,9.13988971710205,6.247735500335693
26,4.0,17.67055892944336,4.0,7.120306491851807,7.120306491851807,9.623674392700195
27,1.0,40.0,3.0,5.699668884277344,5.699668884277344,0.0
28,2.0,34.300331115722656,4.0,6.229345321655273,6.229345321655273,0.0
29,3.0,28.070985794067383,8.0,9.183576583862305,9.183576583862305,2.253139019012451
30,4.0,18.887409210205078,8.0,9.192707061767578,9.192707061767578,6.337515354156494
31,5.0,9.6947021484375,6.0,9.123165130615234,9.123165130615234,9.888249397277832
32,6.0,0.5715370178222656,8.0,9.200335502624512,0.5715370178222656,19.373943328857422
33,1.0,40.0,7.0,9.10434627532959,9.10434627532959,1.116523265838623
34,2.0,30.895652770996094,4.0,6.664089679718018,6.664089679718018,1.918069839477539
35,3.0,24.231563568115234,2.0,5.628426551818848,5.628426551818848,2.066699266433716
36,4.0,18.603137969970703,6.0,9.04789924621582,9.04789924621582,7.457119941711426
37,1.0,40.0,5.0,7.449645042419434,7.449645042419434,0.0
38,2.0,32.55035400390625,4.0,6.449057579040527,6.449057579040527,0.0
39,3.0,26.101295471191406,3.0,5.85118293762207,5.85118293762207,0.0
40,4.0,20.250112533569336,4.0,6.7172627449035645,6.7172627449035645,0.0
41,5.0,13.53285026550293,5.0,8.440413475036621,8.440413475036621,0.0
42,6.0,5.092436790466309,3.0,6.262109279632568,5.092436790466309,0.5445382595062256
43,7.0,0.0,4.0,7.552478790283203,0.0,5.344538688659668
44,8.0,0.0,5.0,8.128485679626465,0.0,11.344538688659668
45,1.0,40.0,5.0,7.448293685913086,7.448293685913086,0.0
46,2.0,32.55170440673828,6.0,8.900288581848145,8.900288581848145,0.0
47,3.0,23.651416778564453,4.0,7.012106895446777,7.012106895446777,0.0
48,4.0,16.63930892944336,5.0,8.68404483795166,8.68404483795166,0.0
49,5.0,7.955264091491699,8.0,9.201400756835938,7.955264091491699,3.2357888221740723
50,6.0,0.0,8.0,9.202960968017578,0.0,12.83578872680664
51,7.0,0.0,2.0,5.726104259490967,0.0,15.235788345336914
52,8.0,0.0,3.0,5.859895706176758,0.0,18.83578872680664
53,1.0,40.0,2.0,5.548949718475342,5.548949718475342,0.0
54,2.0,34.4510498046875,5.0,7.497536659240723,7.497536659240723,0.0
55,3.0,26.953514099121094,2.0,5.5813188552856445,5.5813188552856445,0.0
56,4.0,21.372196197509766,5.0,8.010004997253418,8.010004997253418,0.0
57,5.0,13.362191200256348,6.0,9.050537109375,9.050537109375,0.0
58,6.0,4.311654090881348,3.0,6.343625068664551,4.311654090881348,1.013007640838623
59,7.0,0.0,6.0,9.115760803222656,0.0,8.213007926940918
60,8.0,0.0,6.0,8.97097110748291,0.0,15.413007736206055
61,1.0,40.0,2.0,5.545810699462891,5.545810699462891,0.0
62,2.0,34.45418930053711,5.0,7.4689741134643555,7.4689741134643555,3.0124104022979736
63,3.0,26.985214233398438,3.0,5.797161102294922,5.797161102294922,5.452978134155273
64,1.0,40.0,4.0,6.158101558685303,6.158101558685303,0.0
65,2.0,33.84189987182617,3.0,5.724969863891602,5.724969863891602,0.0
66,3.0,28.11693000793457,6.0,8.827693939208984,8.827693939208984,1.903383731842041
67,4.0,19.289236068725586,5.0,8.323149681091309,8.323149681091309,4.574123859405518
68,5.0,10.966086387634277,3.0,6.1739678382873535,6.1739678382873535,6.939330577850342
69,1.0,40.0,5.0,7.356190204620361,7.356190204620361,1.5862860679626465
70,2.0,32.6438102722168,7.0,9.130512237548828,9.130512237548828,6.334081649780273
71,3.0,23.51329803466797,4.0,6.9780473709106445,6.9780473709106445,9.738471984863281
72,1.0,40.0,3.0,5.687664985656738,5.687664985656738,0.0
73,2.0,34.31233596801758,4.0,6.197854995727539,6.197854995727539,0.0
74,3.0,28.11448097229004,8.0,9.18183422088623,9.18183422088623,4.090899467468262
75,4.0,18.932647705078125,8.0,9.19153118133545,9.19153118133545,10.014286994934082
76,5.0,9.741116523742676,6.0,9.119715690612793,9.119715690612793,15.390344619750977
77,1.0,40.0,8.0,9.175702095031738,9.175702095031738,0.0
78,2.0,30.824298858642578,7.0,9.149226188659668,9.149226188659668,0.0
79,3.0,21.675071716308594,4.0,7.3089141845703125,7.3089141845703125,0.0
80,4.0,14.366157531738281,2.0,5.755405902862549,5.755405902862549,0.0
81,5.0,8.61075210571289,6.0,9.134496688842773,8.61075210571289,0.3113985061645508
82,6.0,0.0,5.0,9.041213035583496,0.0,6.311398506164551
83,7.0,0.0,4.0,7.522871494293213,0.0,11.111398696899414
84,8.0,0.0,3.0,5.847723960876465,0.0,14.71139907836914
85,1.0,40.0,4.0,6.137223243713379,6.137223243713379,0.0
86,2.0,33.86277770996094,5.0,7.524702072143555,7.524702072143555,0.0
87,3.0,26.338075637817383,3.0,5.812530517578125,5.812530517578125,0.11248183250427246
88,4.0,20.525545120239258,4.0,6.615077972412109,6.615077972412109,2.266450881958008
89,5.0,13.910467147827148,5.0,8.338174819946289,8.338174819946289,6.59881591796875
90,1.0,40.0,5.0,7.325720310211182,7.325720310211182,0.0
91,2.0,32.674278259277344,6.0,8.853713035583496,8.853713035583496,0.0
92,3.0,23.82056427001953,4.0,6.905081748962402,6.905081748962402,0.0
93,4.0,16.915481567382812,5.0,8.613755226135254,8.613755226135254,0.8317470550537109
94,5.0,8.301726341247559,8.0,9.197100639343262,8.301726341247559,7.111056804656982
95,6.0,0.0,8.0,9.19903564453125,0.0,16.711057662963867
96,1.0,40.0,2.0,5.5373029708862305,5.5373029708862305,0.0
97,2.0,34.46269607543945,3.0,5.6927995681762695,5.6927995681762695,0.0
98,3.0,28.7698974609375,2.0,5.5470428466796875,5.5470428466796875,0.0
99,4.0,23.222854614257812,5.0,7.5826616287231445,7.5826616287231445,0.0
100,5.0,15.640192985534668,2.0,5.58493709564209,5.58493709564209,0.0
101,6.0,10.055255889892578,5.0,8.125033378601074,8.125033378601074,0.0
102,7.0,1.930222511291504,6.0,9.069670677185059,1.930222511291504,5.655822277069092
103,8.0,0.0,3.0,5.843647003173828,0.0,9.25582218170166
104,9.0,0.0,6.0,8.544681549072266,0.0,16.455821990966797
105,10.0,0.0,6.0,7.705104351043701,0.0,23.65582275390625
106,1.0,40.0,2.0,5.533987998962402,5.533987998962402,0.0
107,2.0,34.46601104736328,5.0,7.369595050811768,7.369595050811768,0.1043238639831543
108,3.0,27.096416473388672,3.0,5.7686638832092285,5.7686638832092285,0.24312567710876465
109,4.0,21.3277530670166,4.0,6.481585502624512,6.481585502624512,2.4504916667938232
110,5.0,14.84616756439209,3.0,5.866428375244141,5.866428375244141,4.877205848693848
111,1.0,40.0,6.0,8.643089294433594,8.643089294433594,2.014146327972412
112,2.0,31.356910705566406,5.0,7.9601616859436035,7.9601616859436035,4.830081939697266
113,3.0,23.39674949645996,3.0,5.968842506408691,5.968842506408691,7.236313819885254
114,1.0,40.0,5.0,7.278017520904541,7.278017520904541,1.6331896781921387
115,2.0,32.721981048583984,7.0,9.120567321777344,9.120567321777344,6.384963512420654
116,3.0,23.60141372680664,4.0,6.909840106964111,6.909840106964111,9.802995681762695
117,1.0,40.0,3.0,5.671632289886475,5.671632289886475,0.1970207691192627
118,2.0,34.328369140625,4.0,6.162086486816406,6.162086486816406,2.532186269760132
119,3.0,28.166282653808594,8.0,9.176568984985352,9.176568984985352,10.296873092651367
120,1.0,40.0,8.0,9.17042350769043,9.17042350769043,0.0
121,2.0,30.82957649230957,6.0,8.948526382446289,8.948526382446289,0.0
122,3.0,21.88105010986328,8.0,9.190401077270508,9.190401077270508,0.0
123,4.0,12.690649032592773,7.0,9.183059692382812,9.183059692382812,0.0
124,5.0,3.507589340209961,4.0,8.607892990112305,3.507589340209961,1.9939286708831787
125,6.0,0.0,2.0,5.9581990242004395,0.0,4.393928527832031
126,7.0,0.0,6.0,9.104395866394043,0.0,11.593929290771484
127,8.0,0.0,5.0,8.068811416625977,0.0,17.593929290771484
128,1.0,40.0,4.0,6.116904258728027,6.116904258728027,0.0
129,2.0,33.883094787597656,3.0,5.703495979309082,5.703495979309082,0.0
130,3.0,28.17959976196289,4.0,6.270442485809326,6.270442485809326,0.0
131,4.0,21.909156799316406,5.0,7.816103935241699,7.816103935241699,0.0
132,5.0,14.093052864074707,3.0,5.906188011169434,5.906188011169434,0.056287527084350586
133,6.0,8.186864852905273,4.0,6.919145107269287,6.919145107269287,2.088629722595215
134,7.0,1.2677197456359863,5.0,8.623055458068848,1.2677197456359863,7.835085868835449
135,1.0,40.0,5.0,7.297743797302246,7.297743797302246,0.1618046760559082
136,2.0,32.70225524902344,6.0,8.838871955871582,8.838871955871582,2.0584816932678223
137,3.0,23.863384246826172,4.0,6.873570442199707,6.873570442199707,4.109053611755371
138,4.0,16.98981475830078,5.0,8.588120460510254,8.588120460510254,8.391429901123047
139,1.0,40.0,8.0,9.170208930969238,9.170208930969238,0.0
140,2.0,30.829792022705078,8.0,9.183174133300781,9.183174133300781,0.4168262481689453
141,3.0,21.646617889404297,2.0,5.6712541580200195,5.6712541580200195,0.4168262481689453
142,4.0,15.975363731384277,3.0,6.161101341247559,6.161101341247559,0.4168262481689453
143,5.0,9.814262390136719,2.0,5.721146583557129,5.721146583557129,0.5283677577972412
144,6.0,4.09311580657959,5.0,8.831501960754395,4.09311580657959,5.709744453430176
145,1.0,40.0,2.0,5.5321855545043945,5.5321855545043945,0.0
146,2.0,34.46781539916992,5.0,7.4003987312316895,7.4003987312316895,0.0
147,3.0,27.06741714477539,6.0,8.879745483398438,8.879745483398438,0.09620380401611328
148,4.0,18.187671661376953,3.0,5.980603218078613,5.980603218078613,0.10784220695495605
149,5.0,12.20706844329834,6.0,9.06511116027832,9.06511116027832,3.681797981262207
150,6.0,3.1419572830200195,6.0,9.132104873657227,3.1419572830200195,10.253406524658203
151,1.0,40.0,2.0,5.533140182495117,5.533140182495117,0.0
152,2.0,34.46685791015625,5.0,7.4132280349731445,7.4132280349731445,0.06941747665405273
153,3.0,27.053630828857422,3.0,5.774735450744629,5.774735450744629,0.2045762538909912
154,4.0,21.27889633178711,4.0,6.503510475158691,6.503510475158691,2.403172254562378
155,5.0,14.775385856628418,3.0,5.871898651123047,5.871898651123047,4.828792572021484
156,1.0,40.0,6.0,8.68889045715332,8.68889045715332,0.0
157,2.0,31.31110954284668,5.0,8.032504081726074,8.032504081726074,0.0
158,3.0,23.278606414794922,3.0,5.995082855224609,5.995082855224609,0.0
159,4.0,17.283523559570312,5.0,8.576911926269531,8.576911926269531,0.8538527488708496
160,5.0,8.706611633300781,7.0,9.180744171142578,8.706611633300781,5.7712082862854
161,6.0,0.0,4.0,8.40960693359375,0.0,10.571208953857422
162,1.0,40.0,3.0,5.687173843383789,5.687173843383789,0.0
163,2.0,34.312828063964844,4.0,6.20708703994751,6.20708703994751,0.0
164,3.0,28.105741500854492,8.0,9.178924560546875,9.178924560546875,0.0
165,4.0,18.926816940307617,8.0,9.188349723815918,9.188349723815918,0.4116506576538086
166,5.0,9.7384672164917,6.0,9.116376876831055,9.116376876831055,0.4116506576538086
167,6.0,0.6220903396606445,8.0,9.196215629577637,0.6220903396606445,9.638397216796875
168,7.0,0.0,7.0,9.175945281982422,0.0,18.03839874267578
169,8.0,0.0,4.0,6.600881576538086,0.0,22.838397979736328
170,1.0,40.0,2.0,5.537128925323486,5.537128925323486,0.0
171,2.0,34.46287155151367,6.0,8.734458923339844,8.734458923339844,0.0
172,3.0,25.728412628173828,5.0,8.120361328125,8.120361328125,0.0
173,4.0,17.608051300048828,4.0,7.118954658508301,7.118954658508301,0.0
174,5.0,10.489096641540527,3.0,6.211207389831543,6.211207389831543,0.0
175,6.0,4.277889251708984,4.0,7.684285640716553,4.277889251708984,3.0888442993164062
176,7.0,0.0,5.0,8.757013320922852,0.0,9.088844299316406
177,1.0,40.0,3.0,5.688180923461914,5.688180923461914,0.18709158897399902
178,2.0,34.31182098388672,4.0,6.211208343505859,6.211208343505859,2.502608299255371
